0.126,-0.092,0.268,-0.284,0.101,-0.002,0.045,-0.305,-0.604,-0.201,-0.493,-0.023,0.34,-0.102,0.042
0.031,0.05,0.076,-0.058,-0.02,-0.075,0.076,0.065,0.173,0.081,0.287,0.045,0.198,-0.044,0.108
0.045,0.386,0.015,0.127,0.036,0.009,0.117,-0.103,-0.033,-0.027,-0.134,0.288,0.327,0.277,0.035
0.113,0.068,-0.009,-0.043,0.05,-0.083,0.069,0.586,-0.047,0.233,0.298,-0.514,0.664,-0.263,0.191
0.154,0.398,-0.027,-0.361,-0.019,-0.114,0.062,0.467,0.055,-0.056,-0.008,0.224,0.512,-0.106,-0.09
0.068,-0.072,-0.21,-0.015,0.025,0.138,0.071,1.113,0.115,0.04,0.305,0.714,0.251,0.131,-0.043
-0.009,-0.097,0.044,-0.788,0.145,-0.106,0.168,0,-0.034,-0.42,0.277,-0.356,-0.464,0.512,0
0.044,0.177,-0.031,0.366,0.008,-0.138,0.081,0.96,0.128,0.161,-0.065,0.885,1.039,-0.14,0.302
0.218,-0.153,0.112,-0.824,0.045,0.141,-0.036,0,0.001,-0.243,0.032,0.102,-0.717,-0.007,0.05
-0.039,0.028,0.021,0.066,0.03,0.177,0.035,0.24,0.054,-0.038,-0.057,0.415,-0.039,-0.126,0.014
-0.004,0.096,0.028,0.184,0.02,0.162,-0.052,0.084,0.096,0.03,0.015,-0.109,-0.129,-0.178,-0.054
0.078,-0.298,0.062,-0.155,-0.108,-0.029,0.111,-0.265,0.147,0.264,-0.02,-0.13,-0.157,0.041,0.078
-0.006,-0.126,-0.052,0.014,0.106,-0.11,0.055,0,-0.172,-0.039,-0.005,0.114,-0.178,0.224,-0.01
0.038,-0.043,0.076,0.051,-0.099,0.084,0.117,0.161,0.157,0.147,0.122,-0.043,-0.073,-0.011,-0.01
-0.056,0.096,-0.34,0.193,0.198,0.127,-0.035,0.425,0.128,-0.103,0.217,-0.107,0.74,0.486,-0.158
0.042,0.22,0.119,0.133,0.002,-0.367,0.035,-0.264,-0.012,0.763,0.483,-0.202,-0.394,0.824,0.157
0.097,0.001,0.162,-0.168,-0.044,0.209,0.006,-0.108,-0.007,0.692,0.516,0.556,-0.527,0.789,0.071
0.061,0.115,0.064,-0.052,0.092,0.145,0.236,0.057,-0.04,-0.006,0.215,-0.026,0.211,0.055,0.035
-0.005,-0.261,0.057,0.233,0.018,0.106,0.004,-0.321,0.202,-0.095,-0.012,0.027,-0.093,-0.09,-0.198
0.163,0.176,-0.032,-0.008,0.27,0.103,0.109,0.924,-0.449,-0.226,-0.193,0.636,0.401,-0.201,0.085
-0.014,0.034,-0.004,0.185,0.024,0.066,0.04,-0.02,0.104,-0.03,-0.063,0.059,-0.174,0.048,0.088
-0.017,0.137,-0.07,0.037,0.165,0.165,0.135,0,0.391,0.034,-0.112,0.09,0.13,-0.124,0.089
0.071,0.038,0.086,0.247,0.15,0.15,0.184,-0.323,-0.037,0.1,-0.07,0.101,-0.45,-0.141,0.023
-0.009,0.061,0.052,0.348,0.043,0.043,-0.031,0.38,0.036,0.028,0.141,-0.165,0.145,-0.721,-0.246
-0.005,0.142,-0.113,0.005,0.031,0.031,-0.084,-0.352,0.302,-0.022,0.228,-0.235,0.115,-0.381,0.052
0.032,-0.225,-0.006,-0.085,0.001,0.003,0.11,-0.108,-0.225,0.111,0.17,0.174,0.063,0.048,-0.135
-0.009,-0.01,0.042,-0.004,-0.113,-0.176,0.084,-0.799,0.265,-0.057,0.234,0.262,-0.203,0.114,-0.056
0.037,-0.068,0.013,0.067,0.115,-0.005,0.11,-0.011,-0.258,0.075,-0.23,0.153,0.454,0.196,-0.002
-0.047,0.142,0.058,0.303,-0.202,-0.077,0.13,-0.059,-0.325,-0.009,0.024,-0.124,-0.086,0.056,-0.003
0.066,0.142,0.045,-0.337,0.04,-0.026,0.225,0.072,0.22,0.307,0.165,0,0.01,0.073,0.681
-0.01,0.035,-0.03,-0.215,-0.039,0.046,0.094,0.665,0.02,0.176,-0.075,0,0.19,0.226,-0.059
0.084,0.039,0.141,-0.231,-0.224,0.113,0.417,-0.136,-0.49,-0.166,0.143,0,-0.026,0.316,0.515
0.146,-0.336,0.28,-0.637,0.038,-0.18,-0.037,-0.053,-0.509,0.342,-0.04,0.432,0,0.007,0.084
0.079,0.072,0.088,-0.062,-0.147,-0.266,-0.413,0.683,0.116,-0.214,0.194,0.326,0,0.654,-0.006
-0.02,-0.013,-0.026,-0.371,0.115,0.003,-0.031,0.285,0.325,0.081,-0.102,0.381,-0.038,-0.504,-0.052
-0.027,-0.053,-0.118,-0.788,0.225,0.19,-0.221,0.21,-0.416,0.038,-0.142,0.314,-0.342,0.647,-0.018
0.042,0.022,0.023,-0.081,0.03,0.013,0.055,0.115,-0.017,0.049,0.062,0.118,0.047,0.072,0.043
